method,h_ratio,h_s,spectral_radius,T_s,final_relative_flux_perturbation
euler,0.8,0.00022857142857142868,0.993310961716756,0.02742857142857144,0.45038789606961693
euler,1.2,0.000342857142857143,1.0099504938362078,0.04114285714285716,3.2476393817928466
rk4,0.8,0.002343697518219038,0.2522326992450509,0.2812437021862846,4.5021486763096024e-14
rk4,1.2,0.003515546277328557,3.4471788942175925,0.4218655532794268,3.158300687348933e+64
