iteration,residual,alpha
0,0.05,0.5
1,0.02500126351132863,0.25
2,0.0191828424387081,1.0
3,0.00048408320557260815,1.0
4,1.3913933934083661e-05,1.0
5,1.2390430214823112e-08,1.0
6,9.856698943150997e-15,0.0
