h,endpoint_L2_error,max_grid_Linf_error
0.1,0.6012627624547253,2.4119141398739457
0.05,0.3052975814296963,1.2295901086022074
0.025,0.15453671792308363,0.5928299677601427
0.0125,0.07783930720276877,0.28751884438069797
0.00625,0.039075334570260224,0.14125402667097142
