component,implicit_T,reference_T,absolute_error
1,0.7161749545502379,0.7158270687199068,0.0003478858303311849
2,9.199067652883273e-06,9.185534764578337e-06,1.3532888304935921e-08
3,0.2838158463821092,0.2841637457453276,0.00034789936321838466
