h,endpoint_error,max_grid_error
0.4,0.0057866266701651625,0.8171600208674379
0.2,0.0032026419020816377,0.4116821800526438
0.1,0.0016675107852410775,0.20699532542388255
0.05,0.0008489675672649355,0.10363437698953515
0.025,0.0004281250425908212,0.05186253562988874
